PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,target
1164,1,19,0,26.0,1,0,23,136.7792,45,0,1
1263,1,86,0,31.0,0,0,26,134.5,60,0,1
949,3,0,1,25.0,0,0,39,7.65,67,2,0
1023,1,39,1,53.0,0,0,11,28.5,34,0,0
1074,1,53,0,18.0,1,0,10,53.1,53,2,1
1010,1,3,1,36.0,0,0,21,75.2417,38,0,0
942,1,69,1,24.0,1,0,25,60.0,30,2,0
1223,1,31,1,39.0,0,0,48,29.7,1,0,0
926,1,56,1,30.0,1,0,22,57.75,41,0,0
1073,1,20,1,37.0,1,1,56,83.1583,63,0,0
1034,1,65,1,61.0,1,3,53,262.375,15,0,0
1058,1,10,1,48.0,0,0,49,50.4958,6,0,0
1107,1,43,1,42.0,0,0,5,42.5,7,2,0
1100,1,63,0,33.0,0,0,54,27.7208,0,0,1
965,1,61,1,28.5,0,0,46,27.7208,57,0,0
1088,1,73,1,6.0,0,2,26,134.5,59,0,0
1050,1,8,1,42.0,0,0,1,26.55,51,2,0
938,1,17,1,45.0,0,0,51,29.7,5,0,0
1128,1,82,1,64.0,1,0,2,75.25,54,0,0
1206,1,83,0,55.0,0,0,60,135.6333,31,0,1
969,1,23,0,55.0,2,0,17,25.7,21,2,1
1256,1,41,0,25.0,1,0,14,55.4417,62,0,1
1004,1,33,0,36.0,0,0,44,31.6792,3,0,1
1114,2,22,0,22.0,0,0,64,10.5,69,2,1
956,1,64,1,13.0,2,2,53,262.375,15,0,0
1001,2,80,1,18.5,0,0,35,13.0,65,2,0
918,1,60,0,22.0,0,1,9,61.9792,10,0,1
966,1,38,0,35.0,0,0,8,211.5,25,0,1
1071,1,21,0,64.0,0,2,56,83.1583,61,0,1
940,1,12,0,60.0,0,0,19,76.2917,48,0,1
1242,1,40,0,45.0,0,1,59,63.3583,47,0,1
936,1,49,0,45.0,1,0,13,52.5542,49,2,1
1179,1,71,1,24.0,1,0,32,82.2667,12,2,0
1069,1,76,1,54.0,1,0,18,55.4417,24,0,0
1283,1,51,0,51.0,0,1,50,39.4,52,2,1
1306,1,59,0,39.0,0,0,58,108.9,22,0,1
1162,1,54,1,46.0,0,0,21,75.2417,38,0,0
1094,1,2,1,47.0,1,0,57,227.525,39,0,0
1131,1,30,0,48.0,1,0,61,106.425,44,0,1
1110,1,85,0,50.0,1,1,8,211.5,42,0,1
1303,1,55,0,37.0,1,0,30,90.0,41,1,1
961,1,35,0,60.0,1,4,31,263.0,28,2,1
1247,1,46,1,50.0,0,0,6,26.0,64,2,0
1009,3,67,0,1.0,1,1,62,16.7,71,2,1
1076,1,29,0,27.0,1,1,45,247.5208,16,0,1
1208,1,75,1,57.0,1,0,47,146.5208,20,0,0
1197,1,24,0,64.0,1,1,4,26.55,9,2,1
1126,1,25,1,39.0,1,0,52,71.2833,43,0,0
1282,1,62,1,23.0,0,0,20,93.5,8,2,0
1185,1,27,1,53.0,1,1,38,81.8583,4,2,0
1042,1,32,0,23.0,0,1,15,83.1583,36,0,1
1296,1,36,1,43.0,1,0,28,27.7208,56,0,0
1198,1,1,1,30.0,1,2,12,151.55,27,2,0
1213,3,50,1,25.0,0,0,37,7.2292,66,0,0
1266,1,28,0,54.0,1,1,38,81.8583,4,2,1
1070,2,5,0,36.0,0,3,33,39.0,70,2,1
1014,1,68,0,35.0,1,0,22,57.75,29,0,1
906,1,15,0,47.0,1,0,65,61.175,58,2,1
1137,1,48,1,41.0,1,0,27,51.8625,50,2,0
984,1,26,0,27.0,1,2,42,52.0,19,2,1
916,1,66,0,48.0,1,3,53,262.375,15,0,1
992,1,77,0,43.0,1,0,18,55.4417,24,0,1
1292,1,7,0,30.0,0,0,40,164.8667,40,2,1
1264,1,45,1,49.0,0,0,3,0.0,14,2,0
973,1,78,1,67.0,1,0,43,221.7792,37,2,0
1200,1,42,1,55.0,1,1,20,93.5,18,2,0
1248,1,11,0,59.0,2,0,16,51.4792,21,2,1
960,1,81,1,31.0,0,0,36,28.5375,35,0,0
1134,1,74,1,45.0,1,1,26,134.5,59,0,0
